color,order
"[249, 255, 254]","[(249, 255, 254), (249, 255, 254)]"
"[203, 206, 202]","[(249, 255, 254), (157, 157, 151)]"
"[160, 167, 168]","[(249, 255, 254), (71, 79, 82)]"
"[139, 142, 144]","[(249, 255, 254), (29, 29, 33)]"
"[190, 170, 152]","[(249, 255, 254), (131, 84, 50)]"
"[212, 150, 146]","[(249, 255, 254), (176, 46, 38)]"
"[249, 192, 142]","[(249, 255, 254), (249, 128, 29)]"
"[252, 236, 158]","[(249, 255, 254), (254, 216, 61)]"
"[188, 227, 142]","[(249, 255, 254), (128, 199, 31)]"
"[172, 190, 138]","[(249, 255, 254), (94, 124, 22)]"
"[136, 206, 205]","[(249, 255, 254), (22, 156, 156)]"
"[154, 217, 236]","[(249, 255, 254), (58, 179, 218)]"
"[154, 162, 212]","[(249, 255, 254), (60, 68, 170)]"
"[193, 152, 219]","[(249, 255, 254), (137, 50, 184)]"
"[224, 166, 222]","[(249, 255, 254), (199, 78, 189)]"
"[246, 197, 212]","[(249, 255, 254), (243, 139, 170)]"
"[203, 206, 202]","[(157, 157, 151), (249, 255, 254)]"
"[157, 157, 151]","[(157, 157, 151), (157, 157, 151)]"
"[114, 118, 116]","[(157, 157, 151), (71, 79, 82)]"
"[93, 93, 92]","[(157, 157, 151), (29, 29, 33)]"
"[144, 120, 100]","[(157, 157, 151), (131, 84, 50)]"
"[166, 102, 94]","[(157, 157, 151), (176, 46, 38)]"
"[203, 142, 90]","[(157, 157, 151), (249, 128, 29)]"
"[206, 186, 106]","[(157, 157, 151), (254, 216, 61)]"
"[142, 178, 91]","[(157, 157, 151), (128, 199, 31)]"
"[126, 140, 86]","[(157, 157, 151), (94, 124, 22)]"
"[90, 156, 154]","[(157, 157, 151), (22, 156, 156)]"
"[108, 168, 184]","[(157, 157, 151), (58, 179, 218)]"
"[108, 112, 160]","[(157, 157, 151), (60, 68, 170)]"
"[147, 104, 168]","[(157, 157, 151), (137, 50, 184)]"
"[178, 118, 170]","[(157, 157, 151), (199, 78, 189)]"
"[200, 148, 160]","[(157, 157, 151), (243, 139, 170)]"
"[160, 167, 168]","[(71, 79, 82), (249, 255, 254)]"
"[114, 118, 116]","[(71, 79, 82), (157, 157, 151)]"
"[71, 79, 82]","[(71, 79, 82), (71, 79, 82)]"
"[50, 54, 58]","[(71, 79, 82), (29, 29, 33)]"
"[101, 82, 66]","[(71, 79, 82), (131, 84, 50)]"
"[124, 62, 60]","[(71, 79, 82), (176, 46, 38)]"
"[160, 104, 56]","[(71, 79, 82), (249, 128, 29)]"
"[162, 148, 72]","[(71, 79, 82), (254, 216, 61)]"
"[100, 139, 56]","[(71, 79, 82), (128, 199, 31)]"
"[82, 102, 52]","[(71, 79, 82), (94, 124, 22)]"
"[46, 118, 119]","[(71, 79, 82), (22, 156, 156)]"
"[64, 129, 150]","[(71, 79, 82), (58, 179, 218)]"
"[66, 74, 126]","[(71, 79, 82), (60, 68, 170)]"
"[104, 64, 133]","[(71, 79, 82), (137, 50, 184)]"
"[135, 78, 136]","[(71, 79, 82), (199, 78, 189)]"
"[157, 109, 126]","[(71, 79, 82), (243, 139, 170)]"
"[139, 142, 144]","[(29, 29, 33), (249, 255, 254)]"
"[93, 93, 92]","[(29, 29, 33), (157, 157, 151)]"
"[50, 54, 58]","[(29, 29, 33), (71, 79, 82)]"
"[29, 29, 33]","[(29, 29, 33), (29, 29, 33)]"
"[80, 56, 42]","[(29, 29, 33), (131, 84, 50)]"
"[102, 38, 36]","[(29, 29, 33), (176, 46, 38)]"
"[139, 78, 31]","[(29, 29, 33), (249, 128, 29)]"
"[142, 122, 47]","[(29, 29, 33), (254, 216, 61)]"
"[78, 114, 32]","[(29, 29, 33), (128, 199, 31)]"
"[62, 76, 28]","[(29, 29, 33), (94, 124, 22)]"
"[26, 92, 94]","[(29, 29, 33), (22, 156, 156)]"
"[44, 104, 126]","[(29, 29, 33), (58, 179, 218)]"
"[44, 48, 102]","[(29, 29, 33), (60, 68, 170)]"
"[83, 40, 108]","[(29, 29, 33), (137, 50, 184)]"
"[114, 54, 111]","[(29, 29, 33), (199, 78, 189)]"
"[136, 84, 102]","[(29, 29, 33), (243, 139, 170)]"
"[190, 170, 152]","[(131, 84, 50), (249, 255, 254)]"
"[144, 120, 100]","[(131, 84, 50), (157, 157, 151)]"
"[101, 82, 66]","[(131, 84, 50), (71, 79, 82)]"
"[80, 56, 42]","[(131, 84, 50), (29, 29, 33)]"
"[131, 84, 50]","[(131, 84, 50), (131, 84, 50)]"
"[154, 65, 44]","[(131, 84, 50), (176, 46, 38)]"
"[190, 106, 40]","[(131, 84, 50), (249, 128, 29)]"
"[192, 150, 56]","[(131, 84, 50), (254, 216, 61)]"
"[130, 142, 40]","[(131, 84, 50), (128, 199, 31)]"
"[112, 104, 36]","[(131, 84, 50), (94, 124, 22)]"
"[76, 120, 103]","[(131, 84, 50), (22, 156, 156)]"
"[94, 132, 134]","[(131, 84, 50), (58, 179, 218)]"
"[96, 76, 110]","[(131, 84, 50), (60, 68, 170)]"
"[134, 67, 117]","[(131, 84, 50), (137, 50, 184)]"
"[165, 81, 120]","[(131, 84, 50), (199, 78, 189)]"
"[187, 112, 110]","[(131, 84, 50), (243, 139, 170)]"
"[212, 150, 146]","[(176, 46, 38), (249, 255, 254)]"
"[166, 102, 94]","[(176, 46, 38), (157, 157, 151)]"
"[124, 62, 60]","[(176, 46, 38), (71, 79, 82)]"
"[102, 38, 36]","[(176, 46, 38), (29, 29, 33)]"
"[154, 65, 44]","[(176, 46, 38), (131, 84, 50)]"
"[176, 46, 38]","['red', 'red']"
"[212, 87, 34]","[(176, 46, 38), (249, 128, 29)]"
"[215, 131, 50]","[(176, 46, 38), (254, 216, 61)]"
"[152, 122, 34]","[(176, 46, 38), (128, 199, 31)]"
"[135, 85, 30]","[(176, 46, 38), (94, 124, 22)]"
"[99, 101, 97]","[(176, 46, 38), (22, 156, 156)]"
"[117, 112, 128]","[(176, 46, 38), (58, 179, 218)]"
"[118, 57, 104]","[(176, 46, 38), (60, 68, 170)]"
"[156, 48, 111]","[(176, 46, 38), (137, 50, 184)]"
"[188, 62, 114]","[(176, 46, 38), (199, 78, 189)]"
"[210, 92, 104]","[(176, 46, 38), (243, 139, 170)]"
"[249, 192, 142]","[(249, 128, 29), (249, 255, 254)]"
"[203, 142, 90]","[(249, 128, 29), (157, 157, 151)]"
"[160, 104, 56]","[(249, 128, 29), (71, 79, 82)]"
"[139, 78, 31]","[(249, 128, 29), (29, 29, 33)]"
"[190, 106, 40]","[(249, 128, 29), (131, 84, 50)]"
"[212, 87, 34]","[(249, 128, 29), (176, 46, 38)]"
"[249, 128, 29]","[(249, 128, 29), (249, 128, 29)]"
"[252, 172, 45]","[(249, 128, 29), (254, 216, 61)]"
"[188, 164, 30]","[(249, 128, 29), (128, 199, 31)]"
"[172, 126, 26]","[(249, 128, 29), (94, 124, 22)]"
"[136, 142, 92]","[(249, 128, 29), (22, 156, 156)]"
"[154, 154, 124]","[(249, 128, 29), (58, 179, 218)]"
"[154, 98, 100]","[(249, 128, 29), (60, 68, 170)]"
"[193, 89, 106]","[(249, 128, 29), (137, 50, 184)]"
"[224, 103, 109]","[(249, 128, 29), (199, 78, 189)]"
"[246, 134, 100]","[(249, 128, 29), (243, 139, 170)]"
"[252, 236, 158]","[(254, 216, 61), (249, 255, 254)]"
"[206, 186, 106]","[(254, 216, 61), (157, 157, 151)]"
"[162, 148, 72]","[(254, 216, 61), (71, 79, 82)]"
"[142, 122, 47]","[(254, 216, 61), (29, 29, 33)]"
"[192, 150, 56]","[(254, 216, 61), (131, 84, 50)]"
"[215, 131, 50]","[(254, 216, 61), (176, 46, 38)]"
"[252, 172, 45]","[(254, 216, 61), (249, 128, 29)]"
"[254, 216, 61]","[(254, 216, 61), (254, 216, 61)]"
"[191, 208, 46]","[(254, 216, 61), (128, 199, 31)]"
"[174, 170, 42]","[(254, 216, 61), (94, 124, 22)]"
"[138, 186, 108]","[(254, 216, 61), (22, 156, 156)]"
"[156, 198, 140]","[(254, 216, 61), (58, 179, 218)]"
"[157, 142, 116]","[(254, 216, 61), (60, 68, 170)]"
"[196, 133, 122]","[(254, 216, 61), (137, 50, 184)]"
"[226, 147, 125]","[(254, 216, 61), (199, 78, 189)]"
"[248, 178, 116]","[(254, 216, 61), (243, 139, 170)]"
"[188, 227, 142]","[(128, 199, 31), (249, 255, 254)]"
"[142, 178, 91]","[(128, 199, 31), (157, 157, 151)]"
"[100, 139, 56]","[(128, 199, 31), (71, 79, 82)]"
"[78, 114, 32]","[(128, 199, 31), (29, 29, 33)]"
"[130, 142, 40]","[(128, 199, 31), (131, 84, 50)]"
"[152, 122, 34]","[(128, 199, 31), (176, 46, 38)]"
"[188, 164, 30]","[(128, 199, 31), (249, 128, 29)]"
"[191, 208, 46]","[(128, 199, 31), (254, 216, 61)]"
"[128, 199, 31]","[(128, 199, 31), (128, 199, 31)]"
"[111, 162, 26]","[(128, 199, 31), (94, 124, 22)]"
"[75, 178, 94]","[(128, 199, 31), (22, 156, 156)]"
"[93, 189, 124]","[(128, 199, 31), (58, 179, 218)]"
"[94, 134, 100]","[(128, 199, 31), (60, 68, 170)]"
"[132, 124, 108]","[(128, 199, 31), (137, 50, 184)]"
"[164, 138, 110]","[(128, 199, 31), (199, 78, 189)]"
"[186, 169, 100]","[(128, 199, 31), (243, 139, 170)]"
"[172, 190, 138]","[(94, 124, 22), (249, 255, 254)]"
"[126, 140, 86]","[(94, 124, 22), (157, 157, 151)]"
"[82, 102, 52]","[(94, 124, 22), (71, 79, 82)]"
"[62, 76, 28]","[(94, 124, 22), (29, 29, 33)]"
"[112, 104, 36]","[(94, 124, 22), (131, 84, 50)]"
"[135, 85, 30]","[(94, 124, 22), (176, 46, 38)]"
"[172, 126, 26]","[(94, 124, 22), (249, 128, 29)]"
"[174, 170, 42]","[(94, 124, 22), (254, 216, 61)]"
"[111, 162, 26]","[(94, 124, 22), (128, 199, 31)]"
"[94, 124, 22]","[(94, 124, 22), (94, 124, 22)]"
"[58, 140, 89]","[(94, 124, 22), (22, 156, 156)]"
"[76, 152, 120]","[(94, 124, 22), (58, 179, 218)]"
